coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1078570,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,9ae5ab64-50c4-4acf-a6b2-6fca1ef55bbf,"2023-06-20 14:31:37"
1078571,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,18c7778e-d017-4433-ba13-bc70c11a3d79,"2023-06-20 14:31:37"
1078572,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,4d1f357f-95a4-4f90-9630-6d0ddf0cba49,"2023-06-20 14:31:37"
1078573,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,dde930cd-b25e-4cee-8603-1e34bb057794,"2023-06-20 14:31:37"
1078574,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,f32af91f-9449-4baf-9f28-d0484fee1316,"2023-06-20 14:31:37"
1078575,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,c27bee58-1c32-4db4-8740-1fa53686450b,"2023-06-20 14:31:37"
1078576,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,b1904fff-ae9e-4a94-8b99-bebc071dd4e8,"2023-06-20 14:31:37"
1078577,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,a2db4177-8702-4a9a-b66e-e982bf8fd856,"2023-06-20 14:31:37"
1078578,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,f579fdff-a849-4782-aebe-e323f73c47d9,"2023-06-20 14:31:37"
1078579,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,761d5e72-51a1-4d37-8aec-ed07b527bb2f,"2023-06-20 14:31:37"
1078580,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,26cee30c-9f1e-42e8-ad78-c9a6a7b6f506,"2023-06-20 14:31:37"
1078581,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,df8bce91-8856-4c75-98bb-58bd5ea1dd4f,"2023-06-20 14:31:37"
1078582,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ad8eedca-e6bb-42db-a53e-89586419e322,"2023-06-20 14:31:37"
1078583,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,1326a7b7-6652-49a1-a030-12b9aa83f7be,"2023-06-20 14:31:37"
1078584,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,871b9c50-8de7-4af8-83cb-55aa2d0e74b7,"2023-06-20 14:31:37"
1078585,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,2213b151-362e-47e0-a887-d90bcd6ffb3d,"2023-06-20 14:31:37"
1078586,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,eb3a4502-87d4-4492-a035-d32ef50cc611,"2023-06-20 14:31:37"
1078587,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,69516bd9-50fb-4e75-a77e-a72dcd3f17a9,"2023-06-20 14:31:37"
1078588,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,3d4a5f14-369b-4334-8443-fa83b58aa267,"2023-06-20 14:31:37"
1078589,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,c0399e64-dd71-4342-a8ef-ae009d3dd11f,"2023-06-20 14:31:37"
1078590,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,6475ab13-45a0-4e5e-8eb3-4795a24e043c,"2023-06-20 14:31:37"
1078591,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,b849cf87-edef-41c3-b322-dad1add5a58b,"2023-06-20 14:31:37"
1078592,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,873c7ef4-3863-4121-91d2-780d9543f3db,"2023-06-20 14:31:37"
