coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1909455,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,eb27436b-cbbe-455e-990f-11a732eb6534,"2023-06-20 14:31:37"
1909456,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,e6b1c604-9d52-42f9-865d-daabb610982d,"2023-06-20 14:31:37"
1909457,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,3e1df942-e6cf-4519-93ac-1f3fc4ff4b7b,"2023-06-20 14:31:37"
1909458,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,7c96a416-7432-4c7a-9022-889784f2d236,"2023-06-20 14:31:37"
1909459,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,1f8b3e8b-93cc-4d82-942a-57e018d8170a,"2023-06-20 14:31:37"
1909460,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,075903e3-4fa7-46c4-abca-6df20ecc5849,"2023-06-20 14:31:37"
1909461,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,25ccda25-2632-4fec-afd8-05087afc7888,"2023-06-20 14:31:37"
1909462,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,60ba3a37-394a-4d39-92f9-a1ddf5ed32b8,"2023-06-20 14:31:37"
1909463,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,21ef37d7-791a-43a3-b757-d3deb69be7c9,"2023-06-20 14:31:37"
1909464,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,26710b1a-e74d-4184-b653-7b88d820022f,"2023-06-20 14:31:37"
1909465,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,d6b00cf9-fb2c-4bfb-8ba7-495f32e91f16,"2023-06-20 14:31:37"
1909466,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,e3c5a94e-3a9b-41f6-a046-f00b4b48e509,"2023-06-20 14:31:37"
1909467,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,3ef30381-8237-4936-9793-677c6bce1f96,"2023-06-20 14:31:37"
1909468,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,3dab31bb-d509-407b-b631-f1ed4bf06a49,"2023-06-20 14:31:37"
1909469,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,3f109b98-3898-4e5c-ad49-7bceb8d76d4e,"2023-06-20 14:31:37"
1909470,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,3d417304-34d8-490d-be2d-f4163f8becfe,"2023-06-20 14:31:37"
1909471,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,0f42e2d7-7eec-4b1c-81be-ad161ae5648b,"2023-06-20 14:31:37"
1909472,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,d2693768-401f-4f17-aa19-ef1702800089,"2023-06-20 14:31:37"
1909473,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,c216520b-788b-4940-b2c1-5bfb5a2d902d,"2023-06-20 14:31:37"
1909474,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,fbcab239-2849-4ab7-8fc2-feb162d8da3f,"2023-06-20 14:31:37"
1909475,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,5f382e02-80b1-4a82-9d80-d18978d5c2c9,"2023-06-20 14:31:37"
